Client;Secteur1;Secteur2;SecteurParticulier;NbSalaries;CapaciteEmprunt;PrevisionnelAnnuel;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30
C265025;;;;4;40000;[70000];25527,52;88822,8;46883,02;12627,83;76542,18;7695,04;5512,63;17101,06;1580,28;0;1907,2;8406,17;125,67;79214,88;0;644,03;0;2074,17;2019,72;35516,31;24461,55;14451,52;27387,82;195,98;0;616,36;0;2183,89;90,33;50,02
C265026;;;;3;30000;[52500];0;0;0;0;0;113043,09;0;0;2303,12;0;0;0;83544,32;237,67;0;0;0;0;0;0;0;0;0;0;0;2048,65;0;0;13035,5;0
C265029;;;;5;10000;[100000];3572,41;830,63;27513,6;373,88;0;435,41;7217,83;1902,12;328,8;0;1719,94;383,46;3611,33;1921,15;0;1171,86;0;1881,08;28,78;2119,15;21719;0;0;1357,85;0;400,25;0;1684,08;1231,8;378,33
C265041;;1;;2;10000;[44800];265,69;209,48;0;140,3;0;346,97;76,85;0;0;0;170,87;641,62;3072,35;0;0;198,1;0;0;356,8;316,42;145,92;1161,1;509,86;0;0;45,91;0;21,66;12,03;0
C265043;;;;6;150000;[105000];92057,85;37400,34;30629,79;27467,8;46068,03;4876,49;13318,59;3263,6;2155,93;0;3216,04;45322,93;2371,42;41721,83;0;564,23;0;3353,04;1050,9;135415,21;19049,81;66683,3;9855,2;5291,02;168,3;3728,75;0;2567,94;47,76;1698,94
C265044;;;;5;50000;[87500];1373,94;0;480,87;0;0;55007,5;1156,47;0;1694,43;0;4,09;0;47266,66;25,72;0;272,74;0;325,69;3657,23;657,85;245,98;0;0;141,83;0;403,52;0;0;3610,92;99,43
C265046;;;;1;2000;[10600];34,48;259,68;248,55;268,65;0;288,25;567,13;0;14,64;0;0;30,06;0;100,49;0;162,76;0;311,94;0;0;14,41;0;0;0;0;-76,86;0;33,45;0;0
C265047;;;;1;2000;[10600];556,46;237,61;0;0;0;1131,55;134,66;70,95;0;0;0;0;2386,7;0;0;721,68;0;126,45;0;808,27;41,11;0;0;22,5;513,71;6,1;0;0;0;0
C265057;;;;0;3000;[0];0;0;0;0;0;0;173,88;671,48;0;0;70,88;84,89;0;0;0;0;0;0;0;0;0;0;0;119,32;0;0;0;0;0;0
C265058;;;;3;10000;[60000];287,54;667,33;2810,21;115,79;0;17,05;49,78;24,22;47,58;0;10,25;54,03;0;664,78;0;70,25;0;72,63;0;217,21;5756,23;0;0;0;0;73,2;0;97,09;0;0
C265060;;;;4;10000;[80000];1947,34;0;0;372,58;0;2692,95;823,97;453,64;52,64;0;93,32;253,69;407,86;0;0;0;0;99,44;6237,19;1793,13;0;480,33;0;441,12;0;105,9;0;39,81;0;163,99
C265064;;;;8;10000;[160000];2269,82;0;0;1007,61;0;0;202,19;104,33;488;0;0;530,42;0;0;0;0;0;22,94;0;1555,77;0;0;0;376,98;0;44,53;0;14,37;0;0
C265079;;;;1;5000;[17500];515,51;354,48;0;0;0;379,85;610,69;0;37,38;0;52,08;37,16;178,93;1556,68;0;62,32;0;538,84;0;363,89;0;0;0;13,73;0;-135,42;0;0;0;119,67
C265092;;;;0;5000;[0];806,26;0;0;105,26;0;0;64,54;89,89;0;0;527,38;25,25;0;379,92;0;0;0;27,11;391,06;486,23;0;0;0;274,99;0;0;0;4,15;0;386,98
C265117;;1;;0;5000;[0];29,92;0;0;0;0;1135;0;0;0;0;0;0;979,1;0;0;13,88;0;0;0;0;0;0;0;0;0;0;0;5,81;0;0
C265129;;;;0;8000;[0];0;0;0;0;0;14,61;10,57;0;0;0;0;0;182,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C265133;;1;;6;8000;[134400];167,48;0;122,09;0;14374,55;0;141,97;424,68;0;0;0;0;0;0;0;0;0;51,61;0;0;0;11805,94;0;929,46;0;0;0;0;0;72,9
C265135;;;;5;40000;[87500];41594,99;24872,29;2163,61;4348,5;7500,34;2009,29;640,81;3116,34;-81,25;0;572,28;7175,5;12,8;34483,17;0;0;0;356,55;522;58944,4;1929,03;2954,18;671,07;1436,66;83,53;1064,47;0;131,96;0;633,84
C265139;;;;0;8000;[0];0;0;485,5;0;0;0;5,26;0;0;0;0;0;102,24;0;0;0;0;0;1857,55;0;0;0;0;0;0;45,14;0;0;0;0
C265143;;;;2;10000;[35000];1929,04;416,69;8379,52;1249,13;5235,6;4618,34;1332,53;32,63;182,12;0;84,4;1268,46;2879,47;3743,01;0;7299,08;0;243,7;761,82;3805,78;4273,7;0;427,84;1130,64;36,94;388,73;0;323,01;6,38;64,29
C265145;;;;3;7000;[60600];0;0;0;0;0;4845,4;39,72;0;0;0;0;0;8449,28;0;0;0;0;0;0;23,06;0;0;0;0;0;47,58;0;0;914,09;0
C265147;;;;3;15000;[52500];54293,83;11212,74;1361,45;3624,8;4161,14;793,37;1341,72;266,28;-4262,61;0;471,85;3179,21;75,68;13786,63;0;87,63;0;334,18;714,48;42453,28;2442,43;4869,76;0;652,64;9,31;-3973,76;0;189,41;24,11;147,46
C265158;;;;1;10000;[20000];1120,15;207,8;0;712,86;5125,01;1536,22;1295,83;83,62;0;0;13,52;751,48;166,43;338,6;0;171,34;0;649,53;86,08;269,6;112,76;4095,69;616,58;188,39;0;18,59;2,64;100,43;0;0
C265170;;;;2;30489,8;[35000];0;34,46;0;0;234,2;3272,92;195,42;13,58;0;0;0;0;51,94;11,6;0;0;0;0;0;127,56;0;204,96;0;0;0;0;0;94,43;0;0
C265174;;;;12;30000;[210000];67953,49;102,99;9534,63;0;705,93;4473,67;807,71;1313,39;2024,19;0;67,88;21303,98;0;730,98;0;8007,41;0;518,48;1104,5;72785,22;17803,48;3013,95;0;3085,23;0;3282,72;0;530,98;0;0
C265194;;;;1;2000;[26600];86,91;115,34;154,72;0;0;861,4;261,91;54,91;1,22;0;5,2;99,54;2974,2;388,86;654,94;164,09;0;53,27;4,32;505,85;0;0;0;178,13;0;113,3;0;149,72;4827,08;0
C265199;;;;1;30000;[20200];193,29;0;49,96;0;0;50429,12;473,09;31,94;11,41;0;0,95;0;50508,2;0;0;31,95;0;194,98;314,82;337,31;27,52;0;0;775,93;0;352,69;0;2,75;1394,2;0
C265209;;1;;0;3000;[0];172,01;322,64;0;0;0;0;52,92;5,39;0;0;0;0;0;19,34;0;0;0;0;0;565,81;0;0;0;0;0;0;0;0;5,42;0
C265217;;;;11;80000;[192500];150160,75;51476,39;16809,75;13351,74;43153,52;7080,03;5625;9380,78;2226,24;0;228,26;39498,63;414,31;46161,42;0;95,56;0;1475,58;10583,13;115876,19;21633,64;116932,93;28477,11;5156;524,64;1739,96;0;2853,79;0;4517,56
C265220;;;;0;8000;[0];34,84;0;4,32;0;0;0;7,13;0;0;0;15,96;0;109,56;0;0;0;0;0;0;17,6;0;0;0;0;0;0;0;0;0;0
C265240;;;;2;5000;[40000];128,39;0;0;0;0;7911;152,98;732,56;-18,06;0;0;0;0;0;0;0;0;0;12831,39;123,22;0;0;0;49,82;0;491,7;0;33,01;0;0
C265244;;;;0;3000;[0];8,43;0;0;0;0;241,98;167,13;0;0;0;0;78,53;0;0;0;0;0;8,81;17,23;622,47;0;0;0;53,75;0;48,8;0;0;0;9
C265255;;;;2;8000;[35000];107,13;0;65,12;128,68;0;1239,84;195,21;0;3,66;0;0;265,23;428,43;446,23;0;0;0;4,64;632,01;30,93;0;1420,58;0;21,12;0;25,01;0;0;0;0
C265256;;;;0;1000;[0];626,79;0;15,08;62,98;0;36,92;0;473,13;0;0;228,37;6;0;16,02;0;11,02;0;16,2;0;947,38;0;0;0;1,96;39,27;0;0;6,56;0;333,98
C265261;;;;0;10000;[0];0;0;0;0;0;70,15;55,26;0;0;0;0;0;1365,12;0;0;0;0;94,15;0;22,89;0;0;0;0;0;0;0;0;0;0
C265262;;;;0;2000;[0];103,64;59,34;15,52;0;0;873,92;64,94;24,79;0;0;5,59;0;294,58;56;0;0;0;17,71;0;0;0;0;0;3,46;0;0;1,83;0;0;0
C265269;1;;;2;19000;[38400];873,17;0;27068,12;131,52;0;3086,57;587,6;0;321,81;0;0;112,04;168,58;10,49;0;32292,79;0;682,21;0;0;1731,45;0;79,54;160,59;0;466,32;0;66,55;0;0
C265270;;;;0;8000;[0];11,66;0;0;89,09;0;39,04;53,31;0;0;0;0;0;0;0;0;0;0;22,42;0;0;0;0;0;0;0;0;0;0;0;0
C265273;;;;0;6000;[0];273,06;46,6;420,18;0;0;332,25;168,31;63,06;0;0;11,8;0;20,9;0;0;10,15;0;0;0;124,06;0;0;0;0;0;0;0;0;0;418,37
C265285;;;;0;5000;[0];0;0;0;0;0;907,3;0;0;-55,8;0;0;0;2765,12;0;0;0;0;0;0;0;0;0;0;0;0;55,8;0;0;0;0
C265302;;;;10;10000;[200000];250,07;0;0;0;0;527,31;19,84;0;35,87;0;12,42;0;1005,93;0;0;0;0;60,72;907,31;269,95;0;450,88;0;26,79;0;0;0;0;0;376,28
C265305;;1;;2;3000;[44800];3184,47;5651,46;568,22;1632,19;219,05;641,78;2231,97;583,54;107,97;0;24,78;1527,94;510,88;3473,67;0;1679,88;0;502,49;2868,87;303,87;218,11;0;796,68;562,9;0;79,3;1,27;587,15;5,47;30,81
C265311;;1;;4;40000;[89600];451,54;52,05;8397,31;24615,74;56444,16;2122,31;2083,74;1,89;117,95;0;0;32013,5;297,94;14,96;0;3915,31;0;52,23;2272,09;299,49;4565,7;47697,5;10472,48;357,51;0;0;0;522,61;38,14;0
C265320;;;;0;10000;[0];22,98;60,02;165,1;59,46;0;101,32;147,09;0;-18,13;0;32,74;113,81;404,5;9,08;0;22,69;0;168,85;2122,48;437,54;0;0;0;266,42;0;-96,38;0;4,7;0;0
C265333;;;;0;3000;[0];0;21,28;1406,87;0;0;65,16;130,9;0;47,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,2;0;0
C265336;;;;0;8000;[0];99,1;159,77;29,81;0;0;945,11;0;164,09;0;0;74,63;0;448,62;18,61;0;14,73;0;271,94;0;51,37;0;0;0;11,15;0;0;0;0;0;0
C265342;;;;0;3048,98;[0];40,64;0;0;0;0;0;45,18;12,64;0;0;0;0;0;0;0;0;0;20,26;0;0;0;0;0;0;0;0;0;0;0;0
C265344;;1;;1;8000;[22400];71,92;0;629,52;82,64;0;219,07;199,11;32,3;0;0;31,4;101,3;62,6;0;0;54,5;0;298,99;0;156,32;103,53;630,29;0;33,7;0;0;0;20,02;6,77;0
C265367;;;;0;2000;[0];33,6;0;0;0;0;0;0;1157,96;0;0;3,25;0;0;138,49;0;0;0;8,15;18,71;68,67;0;0;0;0;0;0;0;3,03;33,61;375,02
C265370;;;;5;5000;[87500];4027,58;64,87;2,16;797,77;943,99;830,08;3318,65;0;192,14;0;6,16;568,4;55,53;557,34;0;120,82;0;218,49;991,54;2893,54;0;11479,91;0;872,32;0;142,13;0;156,68;0;0
C265371;;;;4;40000;[84800];1755,07;36454,26;1950,77;10927,22;54,18;12,92;1954,14;131,22;144,56;0;18,5;10701,57;0;23953,98;0;35,51;0;369,45;0;1178,91;2226,91;0;0;1958,8;0;322,08;0;474,57;6,67;0
C265372;;;;0;3000;[0];0;0;0;917,55;0;0;139,59;0;0;0;5,49;411,19;274,3;390,06;0;0;0;24,34;0;15,04;0;0;0;4,59;0;0;0;85,95;0;0
C265374;;;;14;25000;[282800];0;0;0;0;0;49410,18;0;0;670,63;0;0;0;72054,46;0;0;40,46;0;0;1630,44;-12,7;0;0;0;0;0;1172,27;0;0;6432,89;0
C265378;;1;;1;10000;[22400];21,71;0;30,44;3026,67;2044,24;1542,71;597,94;0;0;0;0;4593,37;0;0;0;3854,74;0;166,59;1499,76;13,49;2580,61;20773,5;11319,59;791,08;0;101,1;0;280,23;0;0
C265381;;;;0;8000;[0];18,51;71,1;0;0;0;0;0;7,49;0;0;0;34,93;4,27;0;0;14,73;0;0;0;45,38;24,6;0;0;0;0;0;0;0;0;124,76
C265390;;1;;6;8000;[134400];408,02;54,36;723,85;109,04;0;667,78;185,37;12,7;47,58;0;0;763,82;681,64;150,71;0;384,24;0;1503,53;0;268,78;247,93;0;52,37;211,56;0;0;0;17,47;0;0
C265396;1;;;7;50000;[134400];1656,42;0;168121,49;61,36;261,4;3570,73;1634,85;0;12,8;0;4,59;75,46;2299,27;0;0;168245,78;0;451,63;5,98;3061,46;20830,33;607,29;1614,5;1649,32;0;129,6;0;1447,69;415,29;0
C265406;;;;1;30000;[20200];306,9;0;497,64;916,64;0;15548,54;1000,44;0;84,17;0;5,01;0;22600,82;0;0;72,58;0;6,69;2912,93;704,72;2349,46;0;0;183,43;0;35,01;0;0;0;0
C265407;;;;1;5000;[17500];107,73;0;0;0;0;193,64;0;0;0;0;0;0;979,17;0;0;7,27;0;0;221,97;570,35;0;0;0;0;0;0;0;0;0;0
